==========
Args:Namespace(arch='mub', cuhk03_classic_split=False, cuhk03_labeled=False, dataset='market1501', eval_step=20, evaluate=False, gamma=0.1, gpu_devices='0,1', height=256, lr=0.0003, max_epoch=60, optim='adam', print_freq=10, resume='', root='data', save_dir='log/resnet50-xent-mub-market1501', seed=1, split_id=0, start_epoch=0, start_eval=0, stepsize=20, test_batch=32, train_batch=32, use_cpu=False, use_metric_cuhk03=False, weight_decay=0.0005, width=128, workers=0)
==========
Currently using GPU 0,1
Initializing dataset market1501
=> Market1501 loaded
Dataset statistics:
  ------------------------------
  subset   | # ids | # images
  ------------------------------
  train    |   751 |    12936
  query    |   750 |     3368
  gallery  |   751 |    15913
  ------------------------------
  total    |  1501 |    32217
  ------------------------------
Initializing model: mub
Model size: 31.40421M
==> Start training
Epoch: [2][100/404]	Time 0.307 (0.463)	Data 0.160 (0.311)	Loss 44.1171 (44.5719)	
Epoch: [2][110/404]	Time 0.558 (0.461)	Data 0.410 (0.309)	Loss 45.3148 (44.5718)	
Epoch: [2][120/404]	Time 0.424 (0.459)	Data 0.276 (0.306)	Loss 41.7851 (44.4806)	
Epoch: [2][130/404]	Time 0.419 (0.456)	Data 0.272 (0.303)	Loss 45.0032 (44.4147)	
Epoch: [2][140/404]	Time 0.289 (0.455)	Data 0.133 (0.303)	Loss 41.6524 (44.3010)	
Epoch: [2][150/404]	Time 0.391 (0.451)	Data 0.232 (0.299)	Loss 43.2237 (44.1985)	
Epoch: [2][160/404]	Time 0.558 (0.452)	Data 0.399 (0.299)	Loss 43.2411 (44.1501)	
Epoch: [2][170/404]	Time 0.363 (0.454)	Data 0.218 (0.301)	Loss 43.0038 (44.0993)	
Epoch: [2][180/404]	Time 0.535 (0.454)	Data 0.380 (0.301)	Loss 44.3705 (44.0207)	
Epoch: [2][190/404]	Time 0.527 (0.455)	Data 0.370 (0.302)	Loss 41.5128 (43.8822)	
Epoch: [2][200/404]	Time 0.525 (0.454)	Data 0.378 (0.301)	Loss 43.2432 (43.7844)	
Epoch: [2][210/404]	Time 0.560 (0.456)	Data 0.407 (0.303)	Loss 41.4435 (43.6878)	
Epoch: [2][220/404]	Time 0.570 (0.458)	Data 0.425 (0.305)	Loss 40.8874 (43.6293)	
Epoch: [2][230/404]	Time 0.411 (0.458)	Data 0.252 (0.306)	Loss 41.2653 (43.5474)	
Epoch: [2][240/404]	Time 0.434 (0.458)	Data 0.282 (0.305)	Loss 40.9994 (43.4452)	
Epoch: [2][250/404]	Time 0.395 (0.459)	Data 0.239 (0.306)	Loss 41.7008 (43.3628)	
Epoch: [2][260/404]	Time 0.309 (0.459)	Data 0.150 (0.306)	Loss 42.2731 (43.3050)	
Epoch: [2][270/404]	Time 0.403 (0.459)	Data 0.251 (0.306)	Loss 41.3101 (43.2304)	
Epoch: [2][280/404]	Time 0.487 (0.456)	Data 0.344 (0.303)	Loss 40.9817 (43.1270)	
Epoch: [2][290/404]	Time 0.428 (0.456)	Data 0.285 (0.303)	Loss 40.4465 (43.0468)	
Epoch: [2][300/404]	Time 0.463 (0.456)	Data 0.312 (0.303)	Loss 42.4989 (42.9790)	
Epoch: [2][310/404]	Time 0.420 (0.456)	Data 0.270 (0.302)	Loss 40.5159 (42.8947)	
Epoch: [2][320/404]	Time 0.588 (0.456)	Data 0.436 (0.303)	Loss 38.8008 (42.8168)	
Epoch: [2][330/404]	Time 0.458 (0.457)	Data 0.314 (0.304)	Loss 38.8473 (42.7303)	
Epoch: [2][340/404]	Time 0.532 (0.457)	Data 0.379 (0.304)	Loss 37.9504 (42.6064)	
Epoch: [2][350/404]	Time 0.546 (0.457)	Data 0.400 (0.304)	Loss 40.7582 (42.5254)	
Epoch: [2][360/404]	Time 0.558 (0.457)	Data 0.400 (0.304)	Loss 39.6153 (42.4398)	
Epoch: [2][370/404]	Time 0.448 (0.457)	Data 0.299 (0.304)	Loss 37.0089 (42.3511)	
Epoch: [2][380/404]	Time 0.508 (0.458)	Data 0.360 (0.305)	Loss 39.4724 (42.2815)	
Epoch: [2][390/404]	Time 0.475 (0.457)	Data 0.320 (0.304)	Loss 39.0494 (42.1936)	
Epoch: [2][400/404]	Time 0.201 (0.456)	Data 0.057 (0.304)	Loss 40.1777 (42.1203)	
Epoch: [3][10/404]	Time 0.490 (0.446)	Data 0.343 (0.291)	Loss 36.3910 (37.7544)	
Epoch: [3][20/404]	Time 0.489 (0.458)	Data 0.341 (0.304)	Loss 38.1909 (37.7903)	
Epoch: [3][30/404]	Time 0.412 (0.456)	Data 0.270 (0.305)	Loss 38.1207 (37.8897)	
Epoch: [3][40/404]	Time 0.471 (0.446)	Data 0.317 (0.294)	Loss 37.1303 (37.8944)	
